Model Comparing report 
Date: 2026-03-02 17:22:43
n_features: 10
------------------------------------------------------------
            Method                  Model      Acc
          VARIANCE     LogisticRegression 0.834532
          VARIANCE DecisionTreeClassifier 0.798561
       CORRELATION     LogisticRegression 0.928058
       CORRELATION DecisionTreeClassifier 0.928058
       CHI_SQUARED     LogisticRegression 0.964029
       CHI_SQUARED DecisionTreeClassifier 0.971223
MUTUAL_INFORMATION     LogisticRegression 0.920863
MUTUAL_INFORMATION DecisionTreeClassifier 0.942446
      ANOVA_F_TEST     LogisticRegression 0.913669
      ANOVA_F_TEST DecisionTreeClassifier 0.928058
          VARIANCE     LogisticRegression 0.834532
          VARIANCE DecisionTreeClassifier 0.798561
       CORRELATION     LogisticRegression 0.928058
       CORRELATION DecisionTreeClassifier 0.928058
       CHI_SQUARED     LogisticRegression 0.964029
       CHI_SQUARED DecisionTreeClassifier 0.971223
MUTUAL_INFORMATION     LogisticRegression 0.920863
MUTUAL_INFORMATION DecisionTreeClassifier 0.942446
      ANOVA_F_TEST     LogisticRegression 0.913669
      ANOVA_F_TEST DecisionTreeClassifier 0.928058
              None     LogisticRegression 0.964029
              None DecisionTreeClassifier 0.956835
              None     LogisticRegression 0.964029
              None DecisionTreeClassifier 0.956835
