Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
ANOVA_F_TEST,LogReg,0.9523,0.0552,0.1455,18.03
CORRELATION,LogReg,0.9523,0.0552,0.1455,18.03
Sklearn_SFS_Raw,Tree,0.9295,0.0472,0.1227,15.21
Seeded_SFS_Raw,LogReg,0.9273,0.0487,0.1205,14.94
MUTUAL_INFORMATION,LogReg,0.9273,0.0487,0.1205,14.94
CHI_SQUARED,LogReg,0.9045,0.0744,0.0977,12.11
Seeded_SFS_Union,LogReg,0.8795,0.0532,0.0727,9.01
Sklearn_SFS_Union,Tree,0.8795,0.0532,0.0727,9.01
Seeded_SFS_Union,Tree,0.8773,0.1265,0.0705,8.74
Seeded_SFS_Raw,Tree,0.8591,0.0943,0.0523,6.48
Sklearn_SFS_Union,LogReg,0.8568,0.0557,0.05,6.2
Sklearn_SFS_Raw,LogReg,0.8318,0.0522,0.025,3.1
None,LogReg,0.8068,0.0857,0.0,0.0
None,Tree,0.7568,0.1711,-0.05,-6.2
VARIANCE,LogReg,0.7386,0.1232,-0.0682,-8.45
ANOVA_F_TEST,Tree,0.7114,0.0898,-0.0954,-11.82
CORRELATION,Tree,0.6636,0.1326,-0.1432,-17.75
MUTUAL_INFORMATION,Tree,0.6227,0.1861,-0.1841,-22.82
CHI_SQUARED,Tree,0.6205,0.0649,-0.1863,-23.09
VARIANCE,Tree,0.4682,0.2234,-0.3386,-41.97
