Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Raw,LogReg,0.9083,0.0381,0.2741,43.22
Sklearn_SFS_Raw,LogReg,0.8833,0.0724,0.2491,39.28
Sklearn_SFS_Union,LogReg,0.8058,0.1377,0.1716,27.06
ANOVA_F_TEST,LogReg,0.7925,0.1057,0.1583,24.96
Seeded_SFS_Raw,Tree,0.7417,0.1099,0.1075,16.95
CHI_SQUARED,LogReg,0.7408,0.129,0.1066,16.81
ANOVA_F_TEST,Tree,0.7392,0.0846,0.105,16.56
CORRELATION,LogReg,0.7383,0.0853,0.1041,16.41
MUTUAL_INFORMATION,Tree,0.7242,0.1147,0.09,14.19
MUTUAL_INFORMATION,LogReg,0.7117,0.1249,0.0775,12.22
CHI_SQUARED,Tree,0.7017,0.0535,0.0675,10.64
Sklearn_SFS_Raw,Tree,0.6883,0.0925,0.0541,8.53
CORRELATION,Tree,0.675,0.0824,0.0408,6.43
Sklearn_SFS_Union,Tree,0.6375,0.0656,0.0033,0.52
None,LogReg,0.6342,0.1247,0.0,0.0
None,Tree,0.6217,0.0811,-0.0125,-1.97
VARIANCE,Tree,0.6108,0.0872,-0.0234,-3.69
VARIANCE,LogReg,0.4792,0.0591,-0.155,-24.44
