Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Raw,LogReg,0.8961,0.0026,0.2856,46.78
Sklearn_SFS_Raw,LogReg,0.8829,0.0666,0.2724,44.62
ANOVA_F_TEST,LogReg,0.8053,0.0251,0.1948,31.91
MUTUAL_INFORMATION,LogReg,0.7914,0.0976,0.1809,29.63
CORRELATION,LogReg,0.727,0.0292,0.1165,19.08
Sklearn_SFS_Raw,Tree,0.727,0.0674,0.1165,19.08
CHI_SQUARED,LogReg,0.7138,0.0346,0.1033,16.92
CHI_SQUARED,Tree,0.7013,0.0248,0.0908,14.87
MUTUAL_INFORMATION,Tree,0.65,0.0598,0.0395,6.47
None,LogReg,0.6105,0.066,0.0,0.0
Seeded_SFS_Raw,Tree,0.5974,0.0497,-0.0131,-2.15
CORRELATION,Tree,0.5974,0.0249,-0.0131,-2.15
ANOVA_F_TEST,Tree,0.5836,0.0508,-0.0269,-4.41
None,Tree,0.5586,0.0994,-0.0519,-8.5
VARIANCE,LogReg,0.5059,0.0719,-0.1046,-17.13
VARIANCE,Tree,0.4776,0.1503,-0.1329,-21.77
