feature,dataset,dataset_variant,model_sfs,algorithm
V3780,Breast3classes,union,LOG,seededsfsselector
V2273,Breast3classes,union,LOG,seededsfsselector
V4786,Breast3classes,union,LOG,seededsfsselector
V217,Breast3classes,union,LOG,seededsfsselector
V3557,Breast3classes,union,LOG,seededsfsselector
V1251,Breast3classes,union,LOG,seededsfsselector
V2988,Breast3classes,union,LOG,seededsfsselector
V3178,Breast3classes,union,LOG,seededsfsselector
V1396,Breast3classes,union,LOG,seededsfsselector
V4106,Breast3classes,union,LOG,seededsfsselector
