Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
MUTUAL_INFORMATION,LogReg,0.9875,0.028,0.0142,1.46
Seeded_SFS_Raw,LogReg,0.9867,0.0298,0.0134,1.38
None,LogReg,0.9733,0.0596,0.0,0.0
ANOVA_F_TEST,LogReg,0.9617,0.035,-0.0116,-1.19
CORRELATION,LogReg,0.9617,0.035,-0.0116,-1.19
Sklearn_SFS_Raw,Tree,0.9608,0.0358,-0.0125,-1.28
Seeded_SFS_Union,LogReg,0.9492,0.0817,-0.0241,-2.48
CHI_SQUARED,LogReg,0.9483,0.0553,-0.025,-2.57
Sklearn_SFS_Union,LogReg,0.9483,0.029,-0.025,-2.57
Sklearn_SFS_Raw,LogReg,0.9475,0.0556,-0.0258,-2.65
VARIANCE,LogReg,0.935,0.0817,-0.0383,-3.94
Sklearn_SFS_Union,Tree,0.9108,0.0706,-0.0625,-6.42
Seeded_SFS_Raw,Tree,0.9092,0.0352,-0.0641,-6.59
MUTUAL_INFORMATION,Tree,0.8567,0.032,-0.1166,-11.98
VARIANCE,Tree,0.8442,0.0587,-0.1291,-13.26
Seeded_SFS_Union,Tree,0.8317,0.0941,-0.1416,-14.55
CHI_SQUARED,Tree,0.82,0.0639,-0.1533,-15.75
None,Tree,0.8192,0.1038,-0.1541,-15.83
CORRELATION,Tree,0.7808,0.0943,-0.1925,-19.78
ANOVA_F_TEST,Tree,0.78,0.0545,-0.1933,-19.86
