Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Sklearn_SFS_Raw,Tree,0.9722,0.0321,0.0694,7.69
Sklearn_SFS_Union,Tree,0.9722,0.0321,0.0694,7.69
ANOVA_F_TEST,LogReg,0.9583,0.0278,0.0555,6.15
Seeded_SFS_Raw,Tree,0.9583,0.0278,0.0555,6.15
CHI_SQUARED,LogReg,0.9444,0.0642,0.0416,4.61
CORRELATION,LogReg,0.9444,0.0454,0.0416,4.61
MUTUAL_INFORMATION,LogReg,0.9306,0.0532,0.0278,3.08
Sklearn_SFS_Union,LogReg,0.9306,0.0278,0.0278,3.08
VARIANCE,LogReg,0.9028,0.0833,0.0,0.0
ANOVA_F_TEST,Tree,0.9028,0.0278,0.0,0.0
None,LogReg,0.9028,0.0833,0.0,0.0
CORRELATION,Tree,0.9028,0.0532,0.0,0.0
Seeded_SFS_Union,LogReg,0.9028,0.0949,0.0,0.0
Sklearn_SFS_Raw,LogReg,0.875,0.0532,-0.0278,-3.08
CHI_SQUARED,Tree,0.8611,0.0717,-0.0417,-4.62
Seeded_SFS_Union,Tree,0.8611,0.0321,-0.0417,-4.62
Seeded_SFS_Raw,LogReg,0.8333,0.0642,-0.0695,-7.7
MUTUAL_INFORMATION,Tree,0.8194,0.0833,-0.0834,-9.24
None,Tree,0.7639,0.0532,-0.1389,-15.39
VARIANCE,Tree,0.6806,0.0532,-0.2222,-24.61
