Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
CHI_SQUARED,LogReg,0.9784,0.0102,0.0278,2.92
CORRELATION,LogReg,0.977,0.02,0.0264,2.78
ANOVA_F_TEST,LogReg,0.9741,0.0173,0.0235,2.47
CHI_SQUARED,Tree,0.9698,0.0218,0.0192,2.02
VARIANCE,LogReg,0.9655,0.0138,0.0149,1.57
MUTUAL_INFORMATION,LogReg,0.9655,0.006,0.0149,1.57
Sklearn_SFS_Raw,Tree,0.9607,0.0326,0.0101,1.06
ANOVA_F_TEST,Tree,0.9568,0.0288,0.0062,0.65
CORRELATION,Tree,0.9511,0.0218,0.0005,0.05
VARIANCE,Tree,0.9511,0.0218,0.0005,0.05
None,LogReg,0.9506,0.0353,0.0,0.0
Seeded_SFS_Raw,Tree,0.9459,0.0437,-0.0047,-0.49
MUTUAL_INFORMATION,Tree,0.941,0.0129,-0.0096,-1.01
Sklearn_SFS_Raw,LogReg,0.931,0.0322,-0.0196,-2.06
Seeded_SFS_Raw,LogReg,0.9307,0.0483,-0.0199,-2.09
Seeded_SFS_Union,Tree,0.9262,0.0571,-0.0244,-2.57
Sklearn_SFS_Union,Tree,0.9063,0.0322,-0.0443,-4.66
Seeded_SFS_Union,LogReg,0.9012,0.0358,-0.0494,-5.2
Sklearn_SFS_Union,LogReg,0.8768,0.0248,-0.0738,-7.76
None,Tree,0.8471,0.0448,-0.1035,-10.89
