Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
ANOVA_F_TEST,LogReg,1.0,0.0,0.0,0.0
CHI_SQUARED,LogReg,1.0,0.0,0.0,0.0
MUTUAL_INFORMATION,LogReg,1.0,0.0,0.0,0.0
CORRELATION,LogReg,1.0,0.0,0.0,0.0
Sklearn_SFS_Raw,LogReg,1.0,0.0,0.0,0.0
Sklearn_SFS_Union,LogReg,1.0,0.0,0.0,0.0
None,LogReg,1.0,0.0,0.0,0.0
Seeded_SFS_Union,LogReg,1.0,0.0,0.0,0.0
VARIANCE,LogReg,0.9833,0.0373,-0.0167,-1.67
ANOVA_F_TEST,Tree,0.9833,0.0373,-0.0167,-1.67
Seeded_SFS_Raw,LogReg,0.9667,0.0745,-0.0333,-3.33
Sklearn_SFS_Union,Tree,0.9513,0.0446,-0.0487,-4.87
Sklearn_SFS_Raw,Tree,0.95,0.0745,-0.05,-5.0
Seeded_SFS_Union,Tree,0.95,0.0456,-0.05,-5.0
CHI_SQUARED,Tree,0.9359,0.036,-0.0641,-6.41
Seeded_SFS_Raw,Tree,0.9359,0.0652,-0.0641,-6.41
VARIANCE,Tree,0.9346,0.0367,-0.0654,-6.54
MUTUAL_INFORMATION,Tree,0.9026,0.0388,-0.0974,-9.74
None,Tree,0.8859,0.0481,-0.1141,-11.41
CORRELATION,Tree,0.8859,0.0481,-0.1141,-11.41
