Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
MUTUAL_INFORMATION,LogReg,0.8692,0.0733,0.0641,7.96
ANOVA_F_TEST,LogReg,0.8526,0.0692,0.0475,5.9
CORRELATION,LogReg,0.8359,0.0835,0.0308,3.83
None,LogReg,0.8051,0.1045,0.0,0.0
CHI_SQUARED,LogReg,0.8026,0.0762,-0.0025,-0.31
Seeded_SFS_Raw,LogReg,0.7872,0.0883,-0.0179,-2.22
Sklearn_SFS_Raw,LogReg,0.7731,0.1515,-0.032,-3.97
Sklearn_SFS_Union,LogReg,0.7385,0.1053,-0.0666,-8.27
Seeded_SFS_Union,LogReg,0.7372,0.0673,-0.0679,-8.43
VARIANCE,LogReg,0.7064,0.178,-0.0987,-12.26
Seeded_SFS_Raw,Tree,0.591,0.1058,-0.2141,-26.59
Seeded_SFS_Union,Tree,0.541,0.0393,-0.2641,-32.8
ANOVA_F_TEST,Tree,0.5397,0.1303,-0.2654,-32.96
VARIANCE,Tree,0.5244,0.2156,-0.2807,-34.87
CORRELATION,Tree,0.5064,0.1242,-0.2987,-37.1
Sklearn_SFS_Union,Tree,0.4769,0.0783,-0.3282,-40.77
MUTUAL_INFORMATION,Tree,0.4769,0.1642,-0.3282,-40.77
Sklearn_SFS_Raw,Tree,0.4449,0.1452,-0.3602,-44.74
CHI_SQUARED,Tree,0.4256,0.104,-0.3795,-47.14
None,Tree,0.4141,0.1499,-0.391,-48.57
