iteration,best_candidate,best_score,improvement,n_selected,selected_features,accepted
1,V3404,0.542308,0.262821,2,"['V4529', 'V3404']",True
2,V4581,0.657692,0.115385,3,"['V4529', 'V3404', 'V4581']",True
3,V4668,0.755128,0.097436,4,"['V4529', 'V3404', 'V4581', 'V4668']",True
4,V148,0.773077,0.017949,5,"['V4529', 'V3404', 'V4581', 'V4668', 'V148']",True
5,V1658,0.805128,0.032051,6,"['V4529', 'V3404', 'V4581', 'V4668', 'V148', 'V1658']",True
6,V4285,0.821795,0.016667,7,"['V4529', 'V3404', 'V4581', 'V4668', 'V148', 'V1658', 'V4285']",True
7,V4676,0.823077,0.001282,8,"['V4529', 'V3404', 'V4581', 'V4668', 'V148', 'V1658', 'V4285', 'V4676']",True
8,V1303,0.823077,0.0,8,"['V4529', 'V3404', 'V4581', 'V4668', 'V148', 'V1658', 'V4285', 'V4676']",False
9,V1303,0.823077,0.0,8,"['V4529', 'V3404', 'V4581', 'V4668', 'V148', 'V1658', 'V4285', 'V4676']",False
10,V1303,0.823077,0.0,8,"['V4529', 'V3404', 'V4581', 'V4668', 'V148', 'V1658', 'V4285', 'V4676']",False
