Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Raw,LogReg,0.9714,0.0602,0.0595,6.52
Seeded_SFS_Union,LogReg,0.9614,0.0586,0.0495,5.43
CHI_SQUARED,LogReg,0.9514,0.0583,0.0395,4.33
Sklearn_SFS_Union,LogReg,0.9514,0.0583,0.0395,4.33
ANOVA_F_TEST,LogReg,0.951,0.0488,0.0391,4.29
CORRELATION,LogReg,0.951,0.0488,0.0391,4.29
Sklearn_SFS_Raw,LogReg,0.9419,0.0781,0.03,3.29
MUTUAL_INFORMATION,LogReg,0.9414,0.0628,0.0295,3.24
Sklearn_SFS_Raw,Tree,0.9219,0.0424,0.01,1.1
None,LogReg,0.9119,0.0707,0.0,0.0
Sklearn_SFS_Union,Tree,0.9119,0.0399,0.0,0.0
VARIANCE,LogReg,0.8919,0.1004,-0.02,-2.19
Seeded_SFS_Raw,Tree,0.8724,0.0519,-0.0395,-4.33
MUTUAL_INFORMATION,Tree,0.8624,0.0639,-0.0495,-5.43
Seeded_SFS_Union,Tree,0.8624,0.0402,-0.0495,-5.43
ANOVA_F_TEST,Tree,0.8614,0.0893,-0.0505,-5.54
CORRELATION,Tree,0.8514,0.0936,-0.0605,-6.63
CHI_SQUARED,Tree,0.8424,0.0739,-0.0695,-7.62
None,Tree,0.8133,0.0749,-0.0986,-10.81
VARIANCE,Tree,0.7348,0.0594,-0.1771,-19.42
