Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
ANOVA_F_TEST,LogReg,1.0,0.0,0.0154,1.56
CHI_SQUARED,LogReg,1.0,0.0,0.0154,1.56
MUTUAL_INFORMATION,LogReg,1.0,0.0,0.0154,1.56
CORRELATION,LogReg,1.0,0.0,0.0154,1.56
Seeded_SFS_Union,LogReg,0.9846,0.0324,0.0,0.0
None,LogReg,0.9846,0.0344,0.0,0.0
Seeded_SFS_Raw,LogReg,0.9846,0.0324,0.0,0.0
VARIANCE,LogReg,0.9679,0.0439,-0.0167,-1.7
Sklearn_SFS_Union,LogReg,0.9667,0.0745,-0.0179,-1.82
Sklearn_SFS_Raw,LogReg,0.9372,0.0648,-0.0474,-4.81
Sklearn_SFS_Raw,Tree,0.8897,0.0866,-0.0949,-9.64
Seeded_SFS_Union,Tree,0.8897,0.0817,-0.0949,-9.64
Seeded_SFS_Raw,Tree,0.8897,0.0636,-0.0949,-9.64
Sklearn_SFS_Union,Tree,0.8397,0.125,-0.1449,-14.72
VARIANCE,Tree,0.7641,0.1619,-0.2205,-22.39
CORRELATION,Tree,0.7628,0.0742,-0.2218,-22.53
ANOVA_F_TEST,Tree,0.7615,0.0948,-0.2231,-22.66
CHI_SQUARED,Tree,0.7474,0.059,-0.2372,-24.09
MUTUAL_INFORMATION,Tree,0.7474,0.1352,-0.2372,-24.09
None,Tree,0.6846,0.0896,-0.3,-30.47
