Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Union,LogReg,0.7333,0.0385,0.0666,9.99
MUTUAL_INFORMATION,LogReg,0.7333,0.0471,0.0666,9.99
ANOVA_F_TEST,LogReg,0.6667,0.0471,0.0,0.0
None,LogReg,0.6667,0.0,0.0,0.0
CHI_SQUARED,LogReg,0.65,0.0236,-0.0167,-2.5
CORRELATION,LogReg,0.6333,0.0471,-0.0334,-5.01
Seeded_SFS_Union,Tree,0.6,0.0,-0.0667,-10.0
VARIANCE,LogReg,0.5667,0.0,-0.1,-15.0
Sklearn_SFS_Raw,Tree,0.55,0.0236,-0.1167,-17.5
Seeded_SFS_Raw,Tree,0.5333,0.0,-0.1334,-20.01
Sklearn_SFS_Union,Tree,0.5,0.0471,-0.1667,-25.0
ANOVA_F_TEST,Tree,0.5,0.0471,-0.1667,-25.0
Sklearn_SFS_Union,LogReg,0.4833,0.0236,-0.1834,-27.51
MUTUAL_INFORMATION,Tree,0.4,0.0,-0.2667,-40.0
CHI_SQUARED,Tree,0.3833,0.1179,-0.2834,-42.51
Sklearn_SFS_Raw,LogReg,0.3833,0.0236,-0.2834,-42.51
VARIANCE,Tree,0.3667,0.0943,-0.3,-45.0
Seeded_SFS_Raw,LogReg,0.35,0.0577,-0.3167,-47.5
CORRELATION,Tree,0.3333,0.1414,-0.3334,-50.01
None,Tree,0.2333,0.1414,-0.4334,-65.01
