Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Sklearn_SFS_Raw,LogReg,0.96,0.0365,0.0792,8.99
Sklearn_SFS_Union,LogReg,0.9467,0.0298,0.0659,7.48
Seeded_SFS_Union,LogReg,0.935,0.0417,0.0542,6.15
ANOVA_F_TEST,LogReg,0.9342,0.0472,0.0534,6.06
CORRELATION,LogReg,0.9342,0.0472,0.0534,6.06
Sklearn_SFS_Union,Tree,0.9075,0.0373,0.0267,3.03
Seeded_SFS_Raw,LogReg,0.895,0.0554,0.0142,1.61
Sklearn_SFS_Raw,Tree,0.8933,0.076,0.0125,1.42
ANOVA_F_TEST,Tree,0.8808,0.0568,0.0,0.0
None,LogReg,0.8808,0.0876,0.0,0.0
CHI_SQUARED,LogReg,0.8692,0.0637,-0.0116,-1.32
VARIANCE,LogReg,0.8558,0.053,-0.025,-2.84
Seeded_SFS_Raw,Tree,0.855,0.0292,-0.0258,-2.93
MUTUAL_INFORMATION,Tree,0.8425,0.0334,-0.0383,-4.35
CORRELATION,Tree,0.8417,0.0382,-0.0391,-4.44
Seeded_SFS_Union,Tree,0.8292,0.0326,-0.0516,-5.86
MUTUAL_INFORMATION,LogReg,0.8292,0.0346,-0.0516,-5.86
VARIANCE,Tree,0.7883,0.0754,-0.0925,-10.5
None,Tree,0.75,0.0866,-0.1308,-14.85
CHI_SQUARED,Tree,0.7367,0.0075,-0.1441,-16.36
