feature,feature_index,dataset,dataset_variant,algorithm
V1374,0,adenocarcinoma,union,sklearn_SFS
V1465,1,adenocarcinoma,union,sklearn_SFS
V2019,2,adenocarcinoma,union,sklearn_SFS
V2020,3,adenocarcinoma,union,sklearn_SFS
V2234,4,adenocarcinoma,union,sklearn_SFS
V2811,5,adenocarcinoma,union,sklearn_SFS
V3175,6,adenocarcinoma,union,sklearn_SFS
V3693,7,adenocarcinoma,union,sklearn_SFS
V5545,8,adenocarcinoma,union,sklearn_SFS
V5551,9,adenocarcinoma,union,sklearn_SFS
V5575,10,adenocarcinoma,union,sklearn_SFS
V57,11,adenocarcinoma,union,sklearn_SFS
V6418,12,adenocarcinoma,union,sklearn_SFS
V7705,13,adenocarcinoma,union,sklearn_SFS
V7964,14,adenocarcinoma,union,sklearn_SFS
V8494,15,adenocarcinoma,union,sklearn_SFS
V8623,16,adenocarcinoma,union,sklearn_SFS
V877,17,adenocarcinoma,union,sklearn_SFS
V8928,18,adenocarcinoma,union,sklearn_SFS
V9691,19,adenocarcinoma,union,sklearn_SFS
