Method,Model,Mean_Accuracy,Std_Accuracy,Improvement,Improvement_%
Seeded_SFS_Raw,LogReg,0.9179,0.0963,0.0461,5.29
Sklearn_SFS_Raw,LogReg,0.9026,0.0706,0.0308,3.53
CHI_SQUARED,LogReg,0.8872,0.0436,0.0154,1.77
Seeded_SFS_Union,LogReg,0.8872,0.0411,0.0154,1.77
Sklearn_SFS_Union,LogReg,0.8872,0.0733,0.0154,1.77
MUTUAL_INFORMATION,LogReg,0.8859,0.0935,0.0141,1.62
None,LogReg,0.8718,0.0413,0.0,0.0
ANOVA_F_TEST,LogReg,0.8551,0.0875,-0.0167,-1.92
CORRELATION,LogReg,0.8551,0.0875,-0.0167,-1.92
VARIANCE,LogReg,0.8538,0.1093,-0.018,-2.06
Sklearn_SFS_Union,Tree,0.8513,0.1097,-0.0205,-2.35
Sklearn_SFS_Raw,Tree,0.8218,0.0406,-0.05,-5.74
Seeded_SFS_Union,Tree,0.8205,0.0688,-0.0513,-5.88
ANOVA_F_TEST,Tree,0.7897,0.0465,-0.0821,-9.42
CORRELATION,Tree,0.7577,0.0599,-0.1141,-13.09
CHI_SQUARED,Tree,0.7564,0.1579,-0.1154,-13.24
MUTUAL_INFORMATION,Tree,0.7449,0.1691,-0.1269,-14.56
None,Tree,0.741,0.0936,-0.1308,-15.0
Seeded_SFS_Raw,Tree,0.6936,0.0321,-0.1782,-20.44
VARIANCE,Tree,0.6769,0.1245,-0.1949,-22.36
